y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
47.88362,68.0,20.116379,404.6687,34.718243,disease,weather,1
48.388336,8.999999,39.388336,1551.441,137.26949,disease,weather,1
35.36114,7.9999986,27.361143,748.63214,126.20121,disease,weather,1
21.588215,11.999999,9.588216,91.93388,57.09274,disease,weather,1
19.724203,15.999999,3.724204,13.869696,20.849754,disease,weather,1
23.871506,30.0,6.1284943,37.55844,22.752268,disease,weather,1
28.370415,18.0,10.370415,107.5455,44.728584,disease,weather,1
27.614582,8.999999,18.614582,346.50266,101.67851,disease,weather,1
23.324505,27.999998,4.6754932,21.860237,18.219343,disease,weather,1
24.352987,30.0,5.6470127,31.888752,20.779034,disease,weather,1
25.016617,38.0,12.983383,168.56824,41.20622,disease,weather,1
25.856054,34.0,8.143946,66.32385,27.211767,disease,weather,1
24.685108,32.0,7.314892,53.50764,25.808865,disease,weather,1
21.138956,36.0,14.861044,220.85063,52.017204,disease,weather,1
22.880083,46.0,23.119917,534.5306,67.13092,disease,weather,1
27.59311,46.0,18.40689,338.81363,50.023407,disease,weather,1
27.951227,19.0,8.951227,80.124466,38.129898,disease,weather,1
26.48118,53.0,26.51882,703.2478,66.729805,disease,weather,1
29.263844,23.0,6.2638435,39.235737,23.970083,disease,weather,1
26.963549,25.0,1.9635487,3.8555233,7.5574083,disease,weather,1
23.183996,35.0,11.816004,139.61795,40.61599,disease,weather,1
22.146145,21.999998,0.14614677,0.02135888,0.6621044,disease,weather,1
21.273891,21.0,0.27389145,0.07501653,1.2957948,disease,weather,1
20.961557,37.0,16.038443,257.23163,55.341656,disease,weather,1
23.94679,23.0,0.9467907,0.8964126,4.0334625,disease,weather,1
24.076614,30.0,5.9233856,35.0865,21.907383,disease,weather,1
26.720047,18.0,8.720047,76.03922,38.99838,disease,weather,1
24.38607,43.0,18.61393,346.4784,55.245632,disease,weather,1
27.273108,25.0,2.2731075,5.167018,8.697043,disease,weather,1
26.016275,15.000001,11.016274,121.3583,53.7166,disease,weather,1
18.116688,16.999998,1.1166897,1.2469958,6.3598814,disease,weather,1
17.601002,4.9999986,12.601004,158.7853,111.50837,disease,weather,1
14.168481,8.999999,5.168482,26.713205,44.616493,disease,weather,1
12.987643,18.0,5.0123568,25.12372,32.35068,disease,weather,1
