y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
33.09417,39.0,5.9058304,34.878834,16.383656,disease,weather,1
37.925667,37.0,0.9256668,0.856859,2.4708939,disease,weather,1
37.56466,44.0,6.435341,41.413612,15.779729,disease,weather,1
43.184464,27.999998,15.184465,230.568,42.6623,disease,weather,1
35.977524,32.0,3.9775238,15.820696,11.702468,disease,weather,1
31.212599,34.0,2.7874012,7.7696056,8.548658,disease,weather,1
42.501755,26.999998,15.501757,240.30446,44.608246,disease,weather,1
27.816236,25.0,2.8162365,7.931188,10.664283,disease,weather,1
31.546307,59.0,27.453693,753.70526,60.640114,disease,weather,1
47.955803,56.0,8.044197,64.70911,15.476187,disease,weather,1
41.149273,39.0,2.149273,4.6193743,5.363175,disease,weather,1
49.99654,40.0,9.99654,99.93082,22.21539,disease,weather,1
44.93994,42.0,2.9399414,8.643255,6.763155,disease,weather,1
51.96317,49.0,2.963169,8.780371,5.8698025,disease,weather,1
44.616585,41.0,3.6165848,13.079685,8.448327,disease,weather,1
33.32011,31.0,2.3201103,5.3829117,7.214261,disease,weather,1
32.16353,36.0,3.8364716,14.718514,11.256669,disease,weather,1
35.14911,48.0,12.850891,165.1454,30.910471,disease,weather,1
44.62586,48.0,3.3741417,11.384832,7.2855287,disease,weather,1
58.472755,65.0,6.5272446,42.604923,10.572769,disease,weather,1
50.25595,68.0,17.74405,314.8513,30.009567,disease,weather,1
58.909897,8.999999,49.909897,2490.9978,146.98859,disease,weather,1
31.962727,7.9999986,23.962729,574.21234,119.92539,disease,weather,1
24.81478,11.999999,12.81478,164.2186,69.617584,disease,weather,1
21.436861,15.999999,5.436862,29.55947,29.045504,disease,weather,1
25.195074,30.0,4.804926,23.087313,17.410704,disease,weather,1
32.589497,18.0,14.589497,212.85341,57.677967,disease,weather,1
28.264475,8.999999,19.264477,371.12006,103.39326,disease,weather,1
21.322046,27.999998,6.677952,44.59504,27.078974,disease,weather,1
25.809074,30.0,4.1909256,17.563858,15.018797,disease,weather,1
24.65985,38.0,13.340151,177.95963,42.57958,disease,weather,1
28.951866,34.0,5.048134,25.483656,16.038074,disease,weather,1
26.672295,32.0,5.3277054,28.384445,18.16089,disease,weather,1
26.630098,36.0,9.369902,87.79506,29.921404,disease,weather,1
27.25476,46.0,18.74524,351.384,51.178215,disease,weather,1
35.640415,46.0,10.359585,107.321,25.37857,disease,weather,1
30.34403,19.0,11.34403,128.68703,45.979343,disease,weather,1
32.786087,53.0,20.213913,408.60226,47.12632,disease,weather,1
34.16806,23.0,11.16806,124.72557,39.07098,disease,weather,1
23.976439,25.0,1.0235615,1.0476781,4.1798115,disease,weather,1
29.676077,35.0,5.323923,28.344158,16.463345,disease,weather,1
26.623255,21.999998,4.6232567,21.374502,19.01665,disease,weather,1
22.059853,21.0,1.0598526,1.1232876,4.922695,disease,weather,1
19.61646,37.0,17.38354,302.18744,61.408073,disease,weather,1
37.195137,23.0,14.195137,201.50192,47.163734,disease,weather,1
29.929228,30.0,0.07077217,0.0050087003,0.23618582,disease,weather,1
28.679564,18.0,10.6795635,114.05308,45.75691,disease,weather,1
24.43562,43.0,18.56438,344.63623,55.05808,disease,weather,1
33.81438,25.0,8.814381,77.693306,29.973555,disease,weather,1
29.1197,15.000001,14.119699,199.36589,64.00632,disease,weather,1
19.664314,16.999998,2.6643162,7.098581,14.5335655,disease,weather,1
29.30952,4.9999986,24.309523,590.9529,141.70715,disease,weather,1
15.582366,8.999999,6.582367,43.327553,53.55357,disease,weather,1
18.739609,18.0,0.73960876,0.54702115,4.02622,disease,weather,1
13.943788,9.999999,3.9437885,15.553468,32.942062,disease,weather,1
15.050683,9.999999,5.050684,25.509409,40.323727,disease,weather,1
13.573232,27.999998,14.426766,208.13159,69.40411,disease,weather,1
14.478665,21.0,6.5213346,42.527805,36.76201,disease,weather,1
16.608618,33.0,16.391382,268.6774,66.0828,disease,weather,1
21.521133,39.0,17.478867,305.51077,57.7612,disease,weather,1
21.133236,38.0,16.866764,284.48773,57.046646,disease,weather,1
24.447655,52.0,27.552345,759.1317,72.0816,disease,weather,1
31.54627,45.0,13.45373,181.00284,35.151886,disease,weather,1
23.30626,61.0,37.69374,1420.8181,89.42098,disease,weather,1
39.850655,47.0,7.1493454,51.11314,16.46354,disease,weather,1
38.2412,46.0,7.7588005,60.198986,18.420443,disease,weather,1
51.417213,67.0,15.582787,242.82324,26.318449,disease,weather,1
51.85788,59.0,7.1421204,51.009884,12.885183,disease,weather,1
