y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
47.954975,31.0,16.954975,287.4712,42.948467,disease,weather,1
40.77057,36.0,4.770569,22.758327,12.428119,disease,weather,1
39.370193,48.0,8.6298065,74.473564,19.754578,disease,weather,1
48.03105,48.0,0.031051636,0.0009642041,0.06466999,disease,weather,1
50.386086,65.0,14.6139145,213.5665,25.330463,disease,weather,1
54.649868,68.0,13.350132,178.22603,21.7695,disease,weather,1
53.516132,8.999999,44.516132,1981.686,142.41487,disease,weather,1
31.506392,7.9999986,23.506393,552.55054,119.00046,disease,weather,1
31.478018,11.999999,19.47802,379.39325,89.599396,disease,weather,1
29.312418,15.999999,13.312419,177.2205,58.758373,disease,weather,1
26.798649,30.0,3.2013512,10.24865,11.272632,disease,weather,1
36.9974,18.0,18.997398,360.90115,69.08472,disease,weather,1
25.42664,8.999999,16.42664,269.83447,95.42982,disease,weather,1
28.493368,27.999998,0.49337006,0.24341401,1.7466478,disease,weather,1
32.95847,30.0,2.9584694,8.752542,9.398162,disease,weather,1
29.276804,38.0,8.723196,76.09415,25.932255,disease,weather,1
27.826912,34.0,6.173088,38.107018,19.968935,disease,weather,1
33.576313,32.0,1.576313,2.4847627,4.8075686,disease,weather,1
34.517673,36.0,1.4823265,2.1972919,4.204128,disease,weather,1
36.01734,46.0,9.982658,99.653465,24.3428,disease,weather,1
37.96378,46.0,8.036221,64.58084,19.142113,disease,weather,1
40.68634,19.0,21.68634,470.29736,72.66768,disease,weather,1
26.71295,53.0,26.28705,691.00903,65.95428,disease,weather,1
45.471317,23.0,22.471317,504.9601,65.63717,disease,weather,1
30.071892,25.0,5.071892,25.724087,18.419167,disease,weather,1
33.176693,35.0,1.823307,3.3244486,5.348769,disease,weather,1
37.255646,21.999998,15.255648,232.73479,51.49095,disease,weather,1
32.942543,21.0,11.942543,142.62433,44.27875,disease,weather,1
33.83826,37.0,3.1617393,9.996595,8.926643,disease,weather,1
37.22054,23.0,14.220539,202.22374,47.228203,disease,weather,1
30.83109,30.0,0.8310909,0.69071215,2.7324545,disease,weather,1
33.756733,18.0,15.756733,248.27463,60.887665,disease,weather,1
33.299408,43.0,9.700592,94.10149,25.4277,disease,weather,1
37.031654,25.0,12.031654,144.76071,38.791985,disease,weather,1
29.150755,15.000001,14.150754,200.24384,64.101974,disease,weather,1
27.354702,16.999998,10.354704,107.219894,46.69045,disease,weather,1
30.168053,4.9999986,25.168055,633.43097,143.13022,disease,weather,1
18.074661,8.999999,9.074662,82.349495,67.034355,disease,weather,1
21.523403,18.0,3.5234032,12.41437,17.829453,disease,weather,1
21.29952,9.999999,11.299521,127.679184,72.20253,disease,weather,1
18.740614,9.999999,8.740615,76.398346,60.82414,disease,weather,1
17.532448,27.999998,10.46755,109.56961,45.97842,disease,weather,1
25.880299,21.0,4.8802986,23.817314,20.820253,disease,weather,1
21.076918,33.0,11.923082,142.1599,44.09675,disease,weather,1
25.304527,39.0,13.695473,187.56598,42.595673,disease,weather,1
40.132065,38.0,2.1320648,4.5457006,5.4575925,disease,weather,1
37.08348,52.0,14.916519,222.50255,33.488853,disease,weather,1
45.151897,45.0,0.15189743,0.02307283,0.3369811,disease,weather,1
46.370613,61.0,14.629387,214.01897,27.250263,disease,weather,1
59.7321,47.0,12.732101,162.1064,23.858053,disease,weather,1
